Date,QuarterEnding,RevenuePerShare,EPS
2018-07-20,2018-06-30,227.62829169480082,15.96
2018-10-10,2018-09-30,476.0631117111036,32.02
2019-01-10,2018-12-31,750.5888307744221,49.32
2019-04-11,2019-03-31,995.0303746203173,66.8
2019-07-10,2019-06-30,277.58184272696593,17.05
2019-10-10,2019-09-30,505.2184887206184,35.27
2020-01-09,2019-12-31,760.6641426092443,53.66
2020-04-27,2020-03-31,986.9080296576747,63.49
2020-07-21,2020-06-30,148.37238169123353,20.63
2020-10-22,2020-09-30,335.2521334367727,35.02
2021-01-15,2020-12-31,534.5539177657098,54.86
2021-04-23,2021-03-31,779.911559348332,75.21
2021-07-15,2021-06-30,226.85648854961832,18.63
2021-10-13,2021-09-30,499.036788276599,39.21
2022-01-13,2021-12-31,771.9689578713969,66.93
2023-01-13,2022-12-31,1013.1185338456991,70.07
2023-04-14,2023-03-31,1337.2302689920189,98.59
2023-07-14,2023-06-30,317.23913686077447,23.66
