Date,QuarterEnding,RevenuePerShare,EPS
2018-09-28,2018-09-30,194.85333333333332,39.83
2018-12-31,2018-12-31,297.5226666666667,61.41
2019-03-29,2019-03-31,402.064,83.05
2019-06-28,2019-06-30,106.25866666666667,21.67
2019-09-30,2019-09-30,213.82666666666665,43.1
2020-01-10,2019-12-31,322.2853333333333,64.74
2020-04-10,2020-03-31,430.776,86.19
2020-06-30,2020-06-30,103.78666666666666,18.68
2020-09-30,2020-09-30,213.25066666666666,38.6
2020-12-31,2020-12-31,327.1333333333333,61.79
2021-03-31,2021-03-31,452.1918918918919,86.71
2021-06-30,2021-06-30,124.68108108108108,24.35
2021-09-30,2021-09-30,254.35135135135135,50.37
2021-12-31,2021-12-31,389.72972972972974,76.77
2022-03-31,2022-03-31,534.896174863388,0.0
2022-06-30,2022-06-30,146.30327868852459,0.0
2022-12-30,2022-12-31,460.57377049180326,84.05
2023-03-31,2023-03-31,625.4289617486339,0.0
2023-06-30,2023-06-30,166.0601092896175,30.26
